,조사끝,조사기관,조사의뢰,표본크기,응답률,이재명,남경필,무응답
0,180331,리서치뷰(가상대결),뉴시스,1000,3.2,60.9,22.4,16.8
1,18043,타임리서치,중부일보,1005,4.4,60.78,22.7,16.6
2,18046,한국사회여론연구소,경인일보,1019,13.5,62.9,20.9,16.099999999999998
3,18049,㈜이너텍시스템즈,KNS뉴스통신,1050,1.3,59.0,24.4,16.5
4,180410,중앙일보 조사연구팀,중앙일보,800,18.5,58.5,17.6,24.1
5,180414,리서치뷰,뉴시스,1000,2.7,51.5,27.2,21.299999999999997
6,180416,㈜매트릭스코퍼레이션,매일경제,800,11.2,52.2,16.5,31.3
7,180422,리서치뷰,뉴시스,1000,2.6,56.8,24.8,18.4
8,18051,㈜코리아리서치센터,MBC,801,15.6,50.9,15.5,33.6
9,18055,리얼미터,CBS,803,3.6,59.4,26.0,14.600000000000001
10,180512,㈜한국리서치,"KBS, 한국일보",800,16.1,56.9,17.0,26.1
11,18059,리얼미터,인천일보,1031,3.9,53.6,22.4,17.0
12,180527,한국사회여론연구소,한국사회여론연구소,1014,17.5,52.6,18.8,28.5
13,180528,조원씨앤아이,경기일보,801,3.9,60.4,26.4,13.2
14,180520,중앙일보 조사연구팀,중앙일보,803,17.8,53.3,21.1,22.299999999999997
15,180526,㈜한국리서치,KBS,800,17.3,55.3,19.7,25.0
16,180529,리서치뷰,뉴시스,1000,2.9,53.8,30.6,15.600000000000001
17,18062,㈜폴리컴,뉴데일리,1005,0.9,51.0,37.8,11.100000000000001
