,조사끝,조사기관,조사의뢰,표본크기,응답률,김경수,김태호,기타,무응답
0,180414,중앙일보 조사연구팀,중앙일보,800,23.8,38.8,26.8,1.8,34.5
1,180414,리얼미터,부산일보,815,5.8,43.2,34.1,2.8,16.3
2,180416,㈜메트릭스코퍼레이션,MBN,800,14.2,36.6,24.1,2.5,39.5
3,180418,리얼미터,MBC경남,802,6.7,49.3,34.3,7.9,16.4
4,180423,한국갤럽조사연구소,JTBC ,807,28.9,40.4,33.6,2.2,15.600000000000001
5,180425,리얼미터,MBC경남,830,5.8,49.6,36.8,6.800000000000001,13.600000000000001
6,18051,㈜코리아리서치센터,MBC,800,16.6,40.2,29.4,0.6,30.400000000000002
7,180511,㈜케이에프텔,시사오늘,1045,2,44.4,45.6,6.7,10.0
8,180512,㈜한국리서치,"KBS, 한국일보",800,18.7,46.2,27.8,9.3,26.0
9,180513,한국사회여론연구소,한국사회여론연구소,1018,20.4,41.4,25.9,3.7,32.7
10,180513,리얼미터,국제신문,807,4.9,48.2,29.7,5.5,22.1
11,180514,조원씨앤아이,쿠키뉴스,804,4.8,53.9,35.4,3,10.7
12,180516,리얼미터,mbc경남,840,3.5,54.4,34.2,5.6,11.4
13,18052,리얼미터,MBC경남,824,4.6,58.3,28.8,5.699999999999999,12.899999999999999
14,180523,리얼미터,mbc경남,808,4.6,53.4,33.2,2.6,13.4
15,180523,㈜한국리서치,kbs창원,1600,19.3,44.9,26.9,3.5,21.2
16,180523,중앙일보 조사연구팀,중앙일보,804,20.3,43.3,29.8,7.8,24.7
17,180527,조원씨앤아이,머니투데이,833,20.4,41.5,34.7,3.9000000000000004,18.8
18,180528,한국갤럽,JTBC,803,22.2,47.4,28.3,3.2,18.7
19,180530,리얼미터,mbc경남,807,4.4,55.9,32.4,4.3,11.7
20,18055,리얼미터,CBS,808,5.4,55.5,33.6,4.6,10.9
21,18057,㈜매트릭스코퍼레이션,서울신문,800,20.1,42.5,26.3,3.0999999999999996,31.200000000000003
22,18058,한국갤럽조사연구소,JTBC,801,19.3,46.1,29.1,2.7,24.900000000000002
23,18059,리얼미터,mbc경남,815,4.8,54.1,33.2,4.199999999999999,12.7
24,18063,㈜매트릭스코퍼레이션,MBN,800,16.1,48.2,27.1,2.4,24.7
25,18063,리얼미터,국제신문,806,6.3,53,32,2.7,15.0
26,18064,조원씨앤아이,일요신문,904,23.8,40.9,32.5,3.6,26.6
